V_i=5000,V_h=7000
Ising: E=0.1129, m=-0.743;  Heat bath: E=0.2490, T = 0.906; E_tot=0.203∓0.016
Ising: E=0.1130, m=-0.754;  Heat bath: E=0.2487, T = 0.905; E_tot=0.202∓0.016
Ising: E=0.1143, m=-0.753;  Heat bath: E=0.2471, T = 0.898; E_tot=0.202∓0.016
Ising: E=0.1148, m=-0.734;  Heat bath: E=0.2466, T = 0.896; E_tot=0.201∓0.016
Ising: E=0.1086, m=-0.781;  Heat bath: E=0.2489, T = 0.905; E_tot=0.201∓0.016
Ising: E=0.1098, m=-0.755;  Heat bath: E=0.2475, T = 0.899; E_tot=0.201∓0.016
Ising: E=0.1089, m=-0.771;  Heat bath: E=0.2474, T = 0.899; E_tot=0.200∓0.016
Ising: E=0.1079, m=-0.782;  Heat bath: E=0.2479, T = 0.901; E_tot=0.200∓0.016
Ising: E=0.1005, m=-0.814;  Heat bath: E=0.2490, T = 0.906; E_tot=0.199∓0.016
Ising: E=0.1044, m=-0.785;  Heat bath: E=0.2471, T = 0.898; E_tot=0.199∓0.016
Ising: E=0.1027, m=-0.794;  Heat bath: E=0.2477, T = 0.900; E_tot=0.199∓0.016
Ising: E=0.1030, m=-0.802;  Heat bath: E=0.2474, T = 0.899; E_tot=0.199∓0.016
Ising: E=0.1069, m=-0.788;  Heat bath: E=0.2451, T = 0.889; E_tot=0.198∓0.016
Ising: E=0.1053, m=-0.787;  Heat bath: E=0.2449, T = 0.888; E_tot=0.198∓0.016
Ising: E=0.1121, m=-0.780;  Heat bath: E=0.2426, T = 0.878; E_tot=0.198∓0.016
Ising: E=0.1051, m=-0.759;  Heat bath: E=0.2424, T = 0.878; E_tot=0.196∓0.016
Ising: E=0.1076, m=-0.768;  Heat bath: E=0.2436, T = 0.883; E_tot=0.197∓0.016
Ising: E=0.1056, m=-0.768;  Heat bath: E=0.2426, T = 0.879; E_tot=0.196∓0.016
Ising: E=0.1043, m=-0.805;  Heat bath: E=0.2428, T = 0.879; E_tot=0.196∓0.016
Ising: E=0.1071, m=-0.783;  Heat bath: E=0.2413, T = 0.873; E_tot=0.195∓0.016
Ising: E=0.1053, m=-0.781;  Heat bath: E=0.2414, T = 0.873; E_tot=0.195∓0.016
